,Date,User,Tweet,lokasi
477,2023-01-30 07:15:42+00:00,apin_saepullah,"#SatuAbadNU 
#gusmuhaimin 
#cakimin
#PKB https://t.co/92XIG3nR3u","Indramayu, Indonesia"
478,2023-01-30 06:53:34+00:00,AhmadFu49615361,"Satu Abad Nu
Gus Muhaemin Iskandar
@baGUSMUHAIMIN24 
@cakimiNOW 
@DPP_PKB 
@FraksiPKB 
@cakiminnow 
@CakIminSahabat 
@CakImin4Wapres 
@sahabat_cakimin 
@CakImin63231343 
@PKBno1 
@voiceofpkb 
@pkbjawatengah 
@pkb
#pkb
#muhaeminiskandar https://t.co/GCRYQON7h0",
479,2023-01-30 06:36:23+00:00,MayangAstuti1,#aniesbaswedan #ridwankamil #sandiagauno #jokowi #capres #cawapres #puanmaharani #cakimin  #indonesia #exploresukabumi #kotasukabumi #infosukabumi #visitcianjur #sukabumitoday #explorecianjur #infocianjur #ciracap #caringin #cibadak #cisaat,
480,2023-01-30 01:00:01+00:00,gerindramjk,"Selamat pagi... semangat bekerja
""Kalau saya kerja saya bahagia, berarti saya selalu mengabdi bagi bangsa"".
Prabowo Subianto

Prabowo Presiden!
Gerindra Menang!

#sandiuno #cakimin #prabowo #prabowopresiden #gerindra #gerindramenang #gerindrajatim #gerindramojokerto https://t.co/GdM5zsNeRM","Puri Majapahit B3, Mojokerto"
481,2023-01-30 00:50:59+00:00,fauzanfuadiFF,"1 Abad NU

@cakiminow 

#satuabadnu 
#1abadnu 
#nahdlatululama 
#pkb 
#pkbjatim 
#cakimin 
#Muhaiminiskandar 
#gusmuhaimin 
#kongkret https://t.co/B7QkytQnN4",
482,2023-01-29 23:53:23+00:00,sutiknopkb,"Tetap solid sampai menjadi pemenang !!

#cakimin 
#gusmuhaiminiskandar 
#pkb
#fpkb
#sutikno 
#sutiknopkb https://t.co/PKYLRbT8jq",
483,2023-01-29 15:28:06+00:00,pkbJember,"Dalam rangka menyambut satu abad Nahdlatul Ulama

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #Capres2024 #Pilpres2024 #NahdlatulUlama #NU https://t.co/U3UhB5vtAR","Jember, Jawa Timur"
484,2023-01-29 15:13:01+00:00,pkbJember,"Sarasehan Nasional
Satu Abad NU
Satu abad kebangkitan ulama menuju masa depan kebangkitan Bangsa
#satuabadnu #nu #pkb #cakimin #muhaiminiskandar #gusmuhaimin #syaifulhuda #acepjamaludin #sujiwotejo #nahdlatululama 
@dpp_pkb @cakiminow @emhasanuddin @SyaifulHooda https://t.co/D2rqVhcEIx","Jember, Jawa Timur"
485,2023-01-29 14:56:52+00:00,rmp_officials,"Dalam rangka menyambut satu abad Nahdlatul Ulama

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #Capres2024 #Pilpres2024 #NahdlatulUlama #NU https://t.co/A3EEMhjj18",
486,2023-01-29 14:29:29+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/tYGPfg8Esq,
487,2023-01-29 14:27:16+00:00,dpwpkbjabar,"Sarasehan Nasional
Satu Abad NU
Satu abad kebangkitan ulama menuju masa depan kebangkitan Bangsa
#satuabadnu #nu #pkb #cakimin #muhaiminiskandar #gusmuhaimin #syaifulhuda #acepjamaludin #sujiwotejo #nahdlatululama 
@dpp_pkb @cakiminow @emhasanuddin @syaifulhooda @AcepJamaludin01 https://t.co/rMFHO3O7Ir","Kota Bandung, Jawa Barat"
488,2023-01-29 14:21:13+00:00,NurulAeni1190,#aniesbaswedan #ridwankamil #sandiagauno #jokowi #capres #cawapres #puanmaharani #cakimin  #indonesia #exploresukabumi #kotasukabumi #infosukabumi #visitcianjur #sukabumitoday #explorecianjur #infocianjur #ciracap #caringin #cibadak #cisaat,
489,2023-01-29 11:23:00+00:00,jajanan_SMI,#aniesbaswedan #ridwankamil #sandiagauno #jokowi #capres #cawapres #puanmaharani #cakimin  #indonesia #exploresukabumi #kotasukabumi #infosukabumi #visitcianjur #sukabumitoday #explorecianjur #infocianjur #ciracap #caringin #cibadak #cisaat,
490,2023-01-29 10:29:39+00:00,Redioktora,#aniesbaswedan #ridwankamil #sandiagauno #jokowi #capres #cawapres #puanmaharani #cakimin  #indonesia #exploresukabumi #kotasukabumi #infosukabumi #visitcianjur #sukabumitoday #explorecianjur #infocianjur #ciracap #caringin #cibadak #cisaat,
491,2023-01-29 09:15:33+00:00,sutiknopkb,"Tetap solid sampai menjadi pemenang !!

#cakimin 
#gusmuhaiminiskandar 
#pkb
#fpkb
#sutikno 
#sutiknopkb https://t.co/p6e25TNCDL",
492,2023-01-29 08:58:27+00:00,SedulurU,"Sarasehan nasional satu abad NU

#satuabadnu #gusmuhaimin #cakimin #gusimin #gusmuhaiminpresiden2024 #pkb #pkbmojokerto https://t.co/KkLcKfKxmc",
493,2023-01-29 07:29:17+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/0gaaYzI1cW,
494,2023-01-29 06:24:12+00:00,fauzanfuadiFF,"SATU ABAD NU

@cakiminow 

#satuabadnu 
#1abadnu 
#pkb 
#pkbjatim 
#cakimin 
#gusmuhaimin 
#Muhaiminiskandar https://t.co/LuVVXiWc6P",
495,2023-01-29 04:07:29+00:00,MuhamadRobiin,"#SatuAbadNU 
#PKB 
#KendalJoss24 
#Cakimin https://t.co/sKQIPpLzIN",
496,2023-01-29 02:30:05+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/eJom59gGFd,
497,2023-01-29 02:30:04+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/1oFc7mq2bW,
498,2023-01-29 00:48:17+00:00,Arya78231249,"1 ABAD NU

""TETAP KOKOH DALAM TERPAAN ANGIN, SUKSES TERUS NU""

#gusmuhaimin 
#Cakimin https://t.co/RHKZBsBn9n",Landipo Moramo Konawe Selatan
499,2023-01-28 23:29:43+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/z3WOBFxmhv,
